Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Daily_Return,Moving_Avg_20,Moving_Avg_50,Volume_MA_20
2023-12-14 00:00:00+05:30,456.4,458.74,448.57,449.52,1849727,0.0,0.0,-0.99,423.83,406.3,4554367.6
2023-12-15 00:00:00+05:30,451.51,453.36,430.58,433.32,3493250,0.0,0.0,-3.6,425.71,406.14,4544301.75
2023-12-18 00:00:00+05:30,413.19,443.99,413.19,434.52,6657503,0.0,0.0,0.28,427.51,406.48,4760053.7
2023-12-19 00:00:00+05:30,434.12,441.3,427.39,429.93,2584114,0.0,0.0,-1.06,429.0,406.83,4792524.3
2023-12-20 00:00:00+05:30,432.57,439.2,399.18,403.72,3841579,0.0,0.0,-6.1,429.23,406.54,4868669.7
2023-12-21 00:00:00+05:30,404.62,421.16,396.34,415.98,3248379,0.0,0.0,3.04,429.19,406.64,4560986.85
2023-12-22 00:00:00+05:30,418.62,421.81,406.21,407.96,2209991,0.0,0.0,-1.93,428.98,406.66,4415267.75
2023-12-26 00:00:00+05:30,418.62,421.81,411.74,413.79,3727266,0.0,0.0,1.43,428.69,407.01,4273819.75
2023-12-27 00:00:00+05:30,416.28,419.12,407.46,409.5,1936541,0.0,0.0,-1.04,428.76,407.39,4247250.5
2023-12-28 00:00:00+05:30,412.09,412.24,405.17,406.71,1233428,0.0,0.0,-0.68,428.43,407.71,4154011.85
2023-12-29 00:00:00+05:30,407.21,413.64,406.06,407.71,2226096,0.0,0.0,0.25,428.46,407.86,4101357.15
2024-01-01 00:00:00+05:30,411.54,412.24,407.51,408.7,1840554,0.0,0.0,0.24,427.74,407.99,3838120.5
2024-01-02 00:00:00+05:30,408.7,412.64,402.82,407.61,1835815,0.0,0.0,-0.27,426.96,408.26,3756851.15
2024-01-03 00:00:00+05:30,408.2,421.41,406.46,409.9,3138198,0.0,0.0,0.56,426.76,408.45,3681467.6
2024-01-04 00:00:00+05:30,411.99,426.64,409.7,424.9,4618595,0.0,0.0,3.66,426.13,409.22,3503271.35
2024-01-05 00:00:00+05:30,427.09,430.08,415.03,418.57,3640549,0.0,0.0,-1.49,424.22,410.09,3204790.75
2024-01-08 00:00:00+05:30,420.66,424.5,415.63,418.07,1594630,0.0,0.0,-0.12,422.61,411.15,2856190.2
2024-01-09 00:00:00+05:30,420.61,456.84,418.72,453.36,15022810,0.0,0.0,8.44,422.56,412.42,3448662.15
2024-01-10 00:00:00+05:30,455.5,468.46,455.5,463.27,9076720,0.0,0.0,2.19,423.55,413.84,3813814.45
2024-01-11 00:00:00+05:30,465.62,482.41,454.1,479.12,7777374,0.0,0.0,3.42,424.81,415.53,4077655.95
2024-01-12 00:00:00+05:30,482.01,483.31,470.6,481.91,6100637,0.0,0.0,0.58,426.43,417.48,4290201.45
2024-01-15 00:00:00+05:30,481.36,483.21,469.05,471.9,2006047,0.0,0.0,-2.08,428.36,419.4,4215841.3
2024-01-16 00:00:00+05:30,471.9,473.44,454.5,464.07,2560974,0.0,0.0,-1.66,429.83,420.83,4011014.85
2024-01-17 00:00:00+05:30,450.52,472.74,450.17,470.55,3771709,0.0,0.0,1.4,431.86,422.39,4070394.6
2024-01-18 00:00:00+05:30,469.25,479.92,455.5,477.18,4329665,0.0,0.0,1.41,435.54,424.23,4094798.9
2024-01-19 00:00:00+05:30,481.41,508.33,481.41,499.75,8422478,0.0,0.0,4.73,439.73,426.53,4353503.85
2024-01-23 00:00:00+05:30,511.32,514.5,472.44,483.31,4062512,0.0,0.0,-3.29,443.49,428.53,4446129.9
2024-01-24 00:00:00+05:30,473.44,496.86,465.57,487.19,6192346,0.0,0.0,0.8,447.16,430.6,4569383.9
2024-01-25 00:00:00+05:30,491.23,499.6,479.62,486.05,1873409,0.0,0.0,-0.24,450.99,432.7,4566227.3
2024-01-29 00:00:00+05:30,490.83,503.19,489.34,494.67,2296482,0.0,0.0,1.77,455.39,434.77,4619380.0
2024-01-30 00:00:00+05:30,497.36,498.76,486.05,488.34,1725003,0.0,0.0,-1.28,459.42,436.56,4594325.35
2024-01-31 00:00:00+05:30,492.88,506.93,489.54,503.09,2885641,0.0,0.0,3.02,464.14,438.71,4646579.7
